lang,QID,url,lang_href,policy_name_en,title,timestamp,order_within_wiki,order_across_wikis
en,Q10948878,https://en.wikipedia.org/wiki/Wikipedia:Do_not_include_the_full_text_of_lengthy_primary_sources,en,Wikipedia:Do not include the full text of lengthy primary sources,Wikipedia:Do_not_include_the_full_text_of_lengthy_primary_sources,2002-04-23T11:00:44Z,11,0
ja,Q10948878,https://ja.wikipedia.org/wiki/Wikipedia:%E5%8E%9F%E5%85%B8%E3%81%AE%E3%82%B3%E3%83%94%E3%83%BC%E3%81%AF%E3%81%97%E3%81%AA%E3%81%84,ja,Wikipedia:Do not include the full text of lengthy primary sources,Wikipedia:原典のコピーはしない,2003-02-02T11:01:02Z,1,1
vi,Q10948878,https://vi.wikipedia.org/wiki/Wikipedia:%C4%90%E1%BB%ABng_ch%C3%A9p_nguy%C3%AAn_v%C4%83n_b%C3%A0i_b%C3%AAn_ngo%C3%A0i,vi,Wikipedia:Do not include the full text of lengthy primary sources,Wikipedia:Đừng_chép_nguyên_văn_bài_bên_ngoài,2005-04-22T17:49:20Z,5,2
zh,Q10948878,https://zh.wikipedia.org/wiki/Wikipedia:%E4%B8%8D%E8%A6%81%E5%8C%85%E5%90%AB%E5%8E%9F%E5%A7%8B%E8%B5%84%E6%96%99%E7%9A%84%E5%89%AF%E6%9C%AC,zh,Wikipedia:Do not include the full text of lengthy primary sources,Wikipedia:不要包含原始资料的副本,2005-07-28T23:30:31Z,21,3
id,Q10948878,https://id.wikipedia.org/wiki/Wikipedia:Jangan_menyertakan_salinan_naskah_asli,id,Wikipedia:Do not include the full text of lengthy primary sources,Wikipedia:Jangan_menyertakan_salinan_naskah_asli,2006-03-12T09:03:55Z,16,4
ms,Q10948878,https://ms.wikipedia.org/wiki/Wikipedia:Jangan_masukkan_salinan_sumber_asli,ms,Wikipedia:Do not include the full text of lengthy primary sources,Wikipedia:Jangan_masukkan_salinan_sumber_asli,2006-04-15T04:15:38Z,17,5
pt,Q10948878,https://pt.wikipedia.org/wiki/Wikip%C3%A9dia:Transcri%C3%A7%C3%A3o_de_fontes_prim%C3%A1rias,pt,Wikipedia:Do not include the full text of lengthy primary sources,Wikipédia:Transcrição_de_fontes_primárias,2006-08-05T05:19:13Z,22,6
ka,Q10948878,https://ka.wikipedia.org/wiki/%E1%83%95%E1%83%98%E1%83%99%E1%83%98%E1%83%9E%E1%83%94%E1%83%93%E1%83%98%E1%83%90:%E1%83%9C%E1%83%A3_%E1%83%A8%E1%83%94%E1%83%9B%E1%83%9D%E1%83%98%E1%83%A2%E1%83%90%E1%83%9C%E1%83%97_%E1%83%9E%E1%83%98%E1%83%A0%E1%83%95%E1%83%94%E1%83%9A%E1%83%90%E1%83%93%E1%83%98_%E1%83%AC%E1%83%A7%E1%83%90%E1%83%A0%E1%83%9D%E1%83%94%E1%83%91%E1%83%98%E1%83%A1_%E1%83%90%E1%83%A1%E1%83%9A%E1%83%94%E1%83%91%E1%83%A1,ka,Wikipedia:Do not include the full text of lengthy primary sources,ვიკიპედია:ნუ_შემოიტანთ_პირველადი_წყაროების_ასლებს,2007-07-12T18:14:01Z,8,7
ar,Q10948878,https://ar.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7:%D9%84%D8%A7_%D8%AA%D9%86%D8%B3%D8%AE_%D8%A7%D9%84%D9%85%D8%B5%D8%A7%D8%AF%D8%B1_%D8%A7%D9%84%D8%A3%D9%88%D9%84%D9%8A%D8%A9,ar,Wikipedia:Do not include the full text of lengthy primary sources,ويكيبيديا:لا_تنسخ_المصادر_الأولية,2007-10-11T00:42:14Z,32,8
yi,Q10948878,https://yi.wikipedia.org/wiki/%D7%B0%D7%99%D7%A7%D7%99%D7%A4%D6%BC%D7%A2%D7%93%D7%99%D7%A2:%D7%A7%D7%90%D7%A4%D7%99%D7%A8%D7%98_%D7%A0%D7%99%D7%A9%D7%98_%D7%A7%D7%99%D7%99%D7%9F_%D7%9E%D7%A7%D7%95%D7%A8%D7%95%D7%AA,yi,Wikipedia:Do not include the full text of lengthy primary sources,װיקיפּעדיע:קאפירט_נישט_קיין_מקורות,2007-11-04T15:26:13Z,23,9
