lang,QID,url,lang_href,policy_name_en,category,policy_type
aa,Q4039395,https://aa.wikipedia.org/wiki/Wikipedia:Administrators,aa,Project:Administrators,Enforcement,Policy
ab,Q4039395,https://ab.wikipedia.org/wiki/%D0%90%D0%B2%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0:%D0%90%D0%B4%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%BE%D1%80%D1%86%D3%99%D0%B0,ab,Project:Administrators,Enforcement,Policy
ace,Q4039395,https://ace.wikipedia.org/wiki/Wikipedia:Ureueng_ur%C3%B4h,ace,Project:Administrators,Enforcement,Policy
ady,Q4039395,https://ady.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D0%B5:%D0%90%D0%B4%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%BE%D1%80%D1%8B,ady,Project:Administrators,Enforcement,Policy
af,Q4039395,https://af.wikipedia.org/wiki/Wikipedia:Administrateur,af,Project:Administrators,Enforcement,Policy
als,Q4039395,https://als.wikipedia.org/wiki/Wikipedia:Ammanne,gsw,Project:Administrators,Enforcement,Policy
alt,Q4039395,https://alt.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F:%D0%90%D0%B4%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%BE%D1%80%D0%BB%D0%BE%D1%80,alt,Project:Administrators,Enforcement,Policy
am,Q4039395,https://am.wikipedia.org/wiki/%E1%8B%8D%E1%8A%AD%E1%8D%94%E1%8B%B2%E1%8B%AB:%E1%88%98%E1%8C%8B%E1%89%A2%E1%8B%8E%E1%89%BD,am,Project:Administrators,Enforcement,Policy
ang,Q4039395,https://ang.wikipedia.org/wiki/Wikip%C7%A3dia:Bewitendas,ang,Project:Administrators,Enforcement,Policy
anp,Q4039395,https://anp.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%95%E0%A4%BF%E0%A4%AA%E0%A5%80%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A4%BE:%E0%A4%90%E0%A4%A1%E0%A4%AE%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%9F%E0%A4%B0,anp,Project:Administrators,Enforcement,Policy
an,Q4039395,https://an.wikipedia.org/wiki/Wikipedia:Administradors,an,Project:Administrators,Enforcement,Policy
arc,Q4039395,https://arc.wikipedia.org/wiki/%DC%98%DC%9D%DC%A9%DC%9D%DC%A6%DC%95%DC%9D%DC%90:%DC%A1%DC%95%DC%92%DC%AA%DC%A2%DC%90,arc,Project:Administrators,Enforcement,Policy
ar,Q4039395,https://ar.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7:%D8%A5%D8%AF%D8%A7%D8%B1%D9%8A%D9%88%D9%86,ar,Project:Administrators,Enforcement,Policy
ary,Q4039395,https://ary.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D9%BE%D9%8A%D8%AF%D9%8A%D8%A7:%D8%A5%D9%85%D8%BA%D8%A7%D8%B1%D9%86,ary,Project:Administrators,Enforcement,Policy
arz,Q4039395,https://arz.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7:%D8%A7%D8%AF%D8%A7%D8%B1%D9%8A%D9%8A%D9%86,arz,Project:Administrators,Enforcement,Policy
ast,Q4039395,https://ast.wikipedia.org/wiki/Wikipedia:Alministradores,ast,Project:Administrators,Enforcement,Policy
as,Q4039395,https://as.wikipedia.org/wiki/%E0%A7%B1%E0%A6%BF%E0%A6%95%E0%A6%BF%E0%A6%AA%E0%A6%BF%E0%A6%A1%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE:%E0%A6%AA%E0%A7%8D%E0%A7%B0%E0%A6%B6%E0%A6%BE%E0%A6%B8%E0%A6%95%E0%A6%AC%E0%A7%83%E0%A6%A8%E0%A7%8D%E0%A6%A6,as,Project:Administrators,Enforcement,Policy
atj,Q4039395,https://atj.wikipedia.org/wiki/Wikipetcia:Ke_nanakatisitc,atj,Project:Administrators,Enforcement,Policy
